whitePixelOnTopHalfCount,whitePixelOnBottomHalfCount,leftSideShape,rightSideShape,topShape,bottomShape,distanceCenter,heightWidthRatio
 7,  43,  37, 143,  58, 129,  97,536.732,1.85903
 1,  34,  55,  75,  68, 106,  30,487.363,2.23438
 5,  84, 144,  75,  71, 168,  55,1694.24,1.2324
 3,  67, 110, 118,  63, 152,  43,1188.94,1.64467
 0,  55,  72,  57,  64, 124,  36,818.617,1.60065
 6,  40, 125,  77,  93, 152,  35,993.066,1.25354
 8,  71, 109,  31,  67,  91,  46,1227.24,1.6969
 7,  58,  54,  87,  62, 105,  61,704.997,2.03397
 7,  64,  85,  83,  69, 137,  56,924.811,1.28815
 3,  52, 103, 132,  35, 142,  42,987.956,1.68737
 9,  95, 119, 128,  51, 178,  68,1493.37,0.892042
 4,  37, 109, 133, 113, 231, 116,875.187,0.873518
 8,  73, 112,  80,  46, 115,  64,1312.7,1.39326
 9,  62,  81,  82,  68, 122,  60,796.546,1.43974
 1,  46,  76,  81,  67, 121,  42,674.752,1.85615
 6,  34,  98,  72,  57, 111,  16,740.854,1.8154
 9,  44,  65,  80,  61, 117,  52,636.787,1.49966
 5,  53,  88,  69, 113, 187, 100,951.001,1.17768
 6,  36, 102,  47, 101, 113,  22,884.154,1.47724
 1,  37,  57,  85,  81, 108,  26,507.166,2.2209
 3,  55,  77,  62,  42,  90,  49,908.172,1.93428
 9,  58,  81,  84,  68, 125,  59,776.393,1.43673
 1,  25,  35,  53,  27,  42,   6,438.261,4.71853
 8,  76,  94,  43, 113, 120, 105,1105.6,1.38022
 7,  39,  44, 162, 158, 210, 139,630.73,1.22576
 1,  33,  50,  74,  75, 105,  24,452.572,2.30757
 8,  75,  89,  96,  76, 161,  83,1137.26,1.43646
 1,  38,  59,  69,  66, 100,  18,521.703,2.54053
 5,  80,  90,  96,  94, 119,  64,1307.68,1.65559
 2,  65, 123, 118,  72, 210,  38,1293.23,1.27688
 9,  46,  62,  92,  78, 127,  77,640.648,1.53369
 7,  70,  62, 121,  84, 134, 106,847.95,1.88004
 7,  64,  43, 193,  45, 145,  79,699.321,1.59835
 6,  41, 114,  89,  67, 126,  19,881.784,1.48214
 8,  45,  69,  72,  49,  97,  42,699.597,2.23304
 8,  65, 117,  58,  69, 137,  39,1206.54,1.50167
 5,  88, 121, 115,  67, 165,  40,1539.66,1.11073
 8,  54, 107,  79,  92, 156,  78,1013.93,1.38488
 1,  32,  55,  24,  45,  54,   5,443.697,4.00738
 4,  36,  79, 135,  88, 190,  82,637.004,1.17398
 9,  54,  74,  96,  61, 122,  67,735.327,1.51188
 2,  63, 142, 124,  58, 200,  68,1382.51,0.99558
 8,  77,  91, 102,  50, 118,  67,1022.82,1.78094
 2,  49, 127,  98, 119, 211, 100,1143.53,0.988797
 8,  57,  83,  41,  94,  89,  14,852.495,1.94027
 0,  63,  95,  42,  52, 116,  35,1091.54,1.46154
 0,  62, 123,  43,  37, 168,  66,1340.16,0.780268
 1,  35,  53,  20,  44,  40,   4,490.772,4.17149
 7,  67,  77, 118,  49, 168, 102,1057.83,0.930233
 2,  54,  93, 101,  82, 138,  53,1017.93,1.74077
 4,  48,  93,  61,  90, 153,  41,762.755,1.68372
 3,  55,  91, 110,  52, 127,  78,1076.54,1.51344
 1,  28,  44,  42,  74,  66,  10,396.781,3.79288
 4,  33,  79, 106,  44, 155,  45,643.512,1.06048
 2,  51, 107,  86,  73, 134,  22,1109.04,1.49706
 5,  67, 104,  71,  64, 108,  30,1322.81,1.28709
 3,  78, 120, 102,  59, 169,  49,1325.94,1.31744
 6,  28,  84,  41, 102, 105,  27,625.528,1.53684
 2,  48, 150,  69, 129, 195,  89,1330.26,1.05259
 7,  73,  59, 130,  57, 142,  85,875.508,1.41231
 1,  28,  46,  21,  22,  30,   5,481.133,4.07205
 8,  55,  96,  53,  53,  90,  24,922.117,2.05754
 4,  70, 115,  78,  42, 135,  50,1236.44,1.17103
 9,  60,  69, 100,  43, 111,  54,733.387,1.60537
 7,  36,  45, 131,  50,  89,  48,518.941,2.85684
 0,  73, 110,  51,  44, 126,  31,1255.5,1.35524
 0,  68,  91,  50,  41, 111,  26,1128.1,1.29724
 1,  35,  51,  62,  46,  83,   4,471.49,3.84818
 1,  22,  37,  56,  74,  77,  12,349.237,2.98604
 2,  72, 102, 107,  54, 119,  44,1275.84,1.56604
 5,  60,  90, 108, 121, 121,  66,1168.98,1.33905
 3,  77, 103, 108,  65, 135,  30,1382.68,1.32486
 4,  34,  60,  90,  93, 147,  86,505.171,1.3401
 4,  30,  69,  94,  31, 123,  38,603.073,1.44833
 4,  44,  87, 151,  62, 214,  91,898.163,0.786487
 5,  79, 118, 111, 108, 149,  79,1481.43,1.27154
 7,  61,  54, 112,  68, 126,  71,692.916,2.06925
 6,  37, 113,  50, 114, 134,  42,968.527,1.16587
 0,  66, 102,  62,  54, 143,  51,1183.61,1.26022
 7,  62,  51, 131,  85, 136,  99,743.907,1.85042
 2,  71, 110, 121,  61, 151,  42,1293.66,1.40639
 8,  63,  97,  61,  39, 102,  22,1084.32,1.84235
 8,  63,  96,  76,  71, 139,  68,1097.55,1.62551
 0,  86, 130,  67,  53, 170,  48,1768.05,0.979074
 7,  53,  51, 102,  89, 113, 104,691.287,2.15184
 1,  29,  49,  56,  59,  79,   9,424.498,3.95681
 0,  62,  98,  53,  70, 155,  74,1442.97,0.996306
 2,  63,  72, 123,  51, 129,  65,966.975,1.48758
 2,  41,  84, 140, 123, 176, 118,890.204,1.40219
 3,  66, 114, 119,  73, 157,  30,1270.88,1.35596
 9,  68,  86,  80,  37, 106,  49,1035.34,1.41385
 4,  42,  69,  90,  69, 139,  59,630.204,1.35028
 6,  52, 136,  59, 100, 165,  75,1427.73,0.92312
 5,  69, 113, 135,  69, 158,  29,1421.93,1.32215
 1,  31,  50,  40,  34,  52,   5,414.873,3.53593
 6,  37, 112,  68,  93, 143,  35,998.724,1.19242
 3,  50,  82,  88,  60, 139,  46,884.693,1.75531
 7,  61,  59, 151,  66, 143,  93,739.191,1.76754
 4,  48,  86, 105,  91, 171, 115,809.342,1.13882
 8,  56,  93,  58,  45, 102,  27,936.327,1.99225
 8,  70, 106,  66,  49, 125,  29,1171.81,1.60136
 9,  58,  70,  80,  98, 111,  89,763.211,1.79613
 9,  68,  75, 106,  52, 120,  63,788.947,1.3807
 7,  59,  54,  86,  43, 100,  65,700.723,1.70403
 3,  58, 101,  75,  41, 114,  17,1058.44,1.64992
 1,  31,  40,  48,  52,  73,   4,410.031,4.72323
 6,  24,  54,  53,  59,  74,  29,473.814,1.73926
 5,  61, 115,  89,  83, 144,  34,1394.28,1.15091
 1,  16,  36,  27,  30,  28,   3,308.568,4.58182
 6,  33, 104,  48,  86, 117,  27,771.168,1.40253
 9,  54,  91,  67,  50, 122,  33,868.267,1.39992
 2,  53,  89,  96,  36, 107,  22,1019.28,1.55249
 0,  52,  80,  53,  44, 113,  30,961.346,1.26731
 5,  67, 116,  98,  79, 141,  46,1380.08,1.17303
 0,  41,  70,  88,  68, 146,  56,724.53,1.47661
 0,  73, 109,  65,  47, 134,  30,1267.75,1.28083
 5,  75, 115,  73,  93, 188,  59,1540.25,1.17223
 5,  71, 112,  82,  75, 135,  57,1394.66,1.26928
 5,  38,  84,  80, 118, 128,  50,811.854,1.49843
 4,  36,  56,  94,  86, 141,  69,521.595,1.29836
 9,  57, 101, 108,  74, 190,  68,1032.15,0.989379
 2,  62,  80,  87,  84, 158,  28,960.087,1.72066
 1,  18,  43,  68,  61,  89,  10,330.954,2.94874
 0,  67, 105,  62,  34, 142,  57,1325.82,1.28746
 5,  40,  71,  77,  72,  96,  25,734.556,2.01585
 8,  67,  99,  94,  36, 133,  28,1012.87,1.8325
 3,  42,  62,  99,  37,  91,  25,783.852,2.19987
 1,  23,  47,  59,  56,  88,  14,424.636,3.15277
 1,  31,  55,  24,  47,  59,   5,441.76,4.4087
 7,  62,  62, 110,  90, 155,  96,763.421,1.455
 3,  46,  78, 104,  63, 105,  45,858.138,1.90052
 1,  33,  51,  78,  70, 109,  20,459.145,2.49915
 3,  54,  95, 109,  52, 126,  77,1071.2,1.54801
 8,  58,  96,  41,  39,  78,  26,918.973,1.97024
 5,  28,  69, 143,  64, 130,  16,606.33,1.53645
 3,  68, 127, 125,  81, 194,  36,1469.84,1.22197
 1,  54,  81,  31,  40,  66,  10,753.112,2.36766
 8,  63,  99,  75,  55, 123,  33,983.475,1.80935
 6,  50, 132,  40, 100, 159,  56,1242.13,0.910574
 7,  56, 126,  81,  58, 203, 103,1240.03,0.724755
 5,  64,  72,  94, 190, 167, 170,979.667,1.44277
 1,  35,  59,  60,  57,  87,  10,522.724,3.09935
 8,  85, 121,  73, 104, 156, 111,1391.93,1.25928
 7,  76,  62, 117, 105, 156, 117,957.348,1.36722
 5,  28,  53,  76,  71,  92,  38,470.15,2.19548
 1,  31,  53,  96,  86, 152,  34,476.273,1.96739
 3,  79, 141, 110,  45, 159,  31,1694.25,1.23074
 4,  41,  78,  90,  70, 135,  62,652.203,1.33472
 9,  55,  60, 118,  34, 117,  44,727.435,1.46465
 4,  54, 100,  88,  72, 147,  69,910.12,1.27682
 2,  73, 121, 108, 108, 177,  58,1405.3,1.40317
 4,  48,  77,  71,  83, 131,  62,705.852,1.48723
 1,  46,  69,  68,  71, 125,  34,648.107,3.05098
 5,  63, 105,  66,  59, 106,  21,1112.02,1.62522
 7,  52,  68, 128,  74, 159,  96,739.841,1.33139
 7,  62,  56, 105,  70, 113,  95,780.771,2.08134
 0,  59,  76,  39,  32,  94,  17,1013.89,1.45602
 4,  45,  91,  91,  79, 168,  83,793.895,1.19061
 8,  42,  75,  64,  46, 110,  21,712.14,1.82371
 4,  32,  62,  90,  67, 127,  44,488.329,1.63907
 5,  49,  68,  89,  77,  88,  33,814.131,1.97337
 7,  66,  55, 102,  96, 141, 115,792.425,1.44799
 0,  64, 101,  44,  51, 131,  36,1249.17,1.14328
 2,  53,  90, 123,  58, 151,  40,968.201,1.61328
 2,  44,  77,  83,  56, 103,  14,858.986,1.83311
 5,  51, 104,  77,  94, 114,  24,1048.27,1.47176
 5,  62,  84,  61, 166, 136,  40,1028.37,1.90171
 3,  70, 107,  98,  54, 126,  25,1200.77,1.5875
 2,  49,  89, 108,  73, 145,  66,1012.16,1.36967
 9,  46,  71,  61,  76, 111,  53,673.673,1.73661
 6,  34, 109,  60, 117, 139,  38,837.183,1.35503
 3,  57,  90,  90,  47, 112,  30,1006.89,1.74997
 0,  72, 102,  46,  64, 147,  59,1509.93,0.99955
 9,  49,  69,  68,  71, 109,  43,656.334,1.96017
 3,  66,  97, 138,  78, 151,  80,1104.3,1.7597
 0,  73, 107,  61,  65, 154,  60,1392.42,1.14826
 8,  93, 108,  68, 119, 147, 131,1396.87,1.40822
 8,  62,  96,  49,  44,  85,  32,995.267,1.95788
 1,  29,  51,  82,  49,  90,  26,427.523,3.54204
 7,  60,  58,  81,  90, 129,  87,722.156,1.69655
 7,  57,  52, 171,  38, 126,  93,728.404,1.77903
 9,  49,  67,  60,  79, 106,  61,679.772,1.87036
 9,  38,  52,  56,  71,  87,  43,457.239,2.34862
 0,  74, 106,  74,  74, 156,  60,1280.5,1.19216
 5,  55,  79, 113, 116, 197,  84,939.916,1.73056
 6,  37, 112,  73,  75, 126,  28,839.007,1.39454
 5,  76,  98, 110, 118, 133,  83,1384.74,1.38505
 3,  61,  95,  92,  43, 143,  50,1120.63,1.48953
 0,  70, 126,  42,  57, 169,  66,1556.43,0.884656
 0,  68, 105,  56,  58, 134,  46,1262.32,1.37269
 6,  43, 126,  49, 142, 154,  89,1360.12,0.800294
 4,  34,  69, 105, 108, 169,  86,577.068,1.21647
 8,  54,  80,  33,  59,  71,  17,733.668,2.37185
 6,  37, 112,  68,  85, 119,  31,821.04,1.49729
 4,  54,  90,  50,  85, 121,  54,793.836,1.53772
 3,  61, 101, 129,  47, 166,  47,1149.48,1.5171
 6,  31,  87,  60,  52,  94,  20,677.711,1.79903
 7,  59,  59,  86,  80, 148,  81,796.574,1.37851
 4,  41,  88,  59, 101, 170,  83,749.941,1.20806
 0,  84, 119,  68,  56, 176,  47,1662.2,1.01737
 8,  47,  80,  61,  71, 103,  57,773.765,1.90001
 1,  26,  43,  80,  77, 123,  17,400.706,2.71991
 5,  62,  68, 128, 147, 232, 140,922.47,1.72186
 4,  41,  66, 101, 103, 159, 110,625.891,1.19078
 9,  47,  57,  69,  34,  92,  36,692.687,2.48506
 8,  53,  83,  58,  62, 106,  32,864.578,2.38117
 5,  50,  67,  80, 101, 137,  93,635.293,1.34784
 1,  24,  40,  62,  63,  83,  14,371.658,2.89996
 4,  50, 123, 102,  89, 196,  97,1060.23,0.925005
 2,  62,  95,  57,  59, 121,  17,1032.98,1.70899
 4,  45,  93, 111,  41, 201,  77,1006,0.73606
 9,  44,  60,  84,  49, 101,  39,584.328,2.08481
 6,  28,  81,  61,  62,  92,  23,613.509,1.96769
 3,  80, 124, 112,  77, 179,  40,1484.52,1.23917
 7,  36,  42, 109,  58, 120,  77,444.417,1.71748
 1,  32,  46,  66,  84, 108,  25,445.743,2.61382
 2,  40, 128, 113,  81, 204,  79,1044.45,0.920642
 8,  65,  98,  83,  37, 122,  23,974.277,2.02868
 1,  29,  46,  30,  51,  57,   4,384.177,4.51978
 4,  36,  85,  99,  45, 141,  60,735.342,1.09176
 0,  81, 113,  38,  48, 148,  46,1838.59,0.99757
 2,  58,  95, 101,  35, 127,  20,1071.42,1.50371
 3,  39,  62,  62,  50,  93,  26,608.865,2.46913
 9,  58,  80,  95,  51, 125,  56,814.22,1.40611
 4,  47,  91,  79,  71, 129,  55,779.903,1.24387
 8,  60,  87,  69,  76, 123,  42,936.509,2.03549
 4,  38,  70,  86,  62, 139,  70,627.332,1.15031
 8,  58,  92,  50,  58,  95,  28,902.267,2.10535
 1,  22,  44,  48,  37,  56,   4,369.906,4.91991
 6,  37,  94,  85,  71, 139,  44,834.287,1.52978
 9,  57,  86, 114,  45, 145,  45,885.333,1.2003
 5,  42,  93,  84,  68, 107,  51,950.234,1.55616
 2,  24,  93, 128, 146, 278, 116,719.949,1.00402
 2,  75,  95,  87,  41, 111,  40,1274.86,1.45262
 0,  46,  66,  50,  72, 129,  30,864.852,1.29615
 1,  45,  73, 153,  97, 219,  83,718.691,1.51283
 9,  42,  62, 105,  34, 117,  30,640.07,1.30413
 9,  55,  67,  89,  73, 120,  72,730.904,1.56486
 7,  48,  37, 174,  65, 138,  85,547.617,2.0832
 2,  61,  78,  88,  51,  97,  50,988.526,1.81891
 9,  49,  78,  87,  55, 123,  54,756.868,1.39532
 9,  49,  69,  74,  73, 114,  64,710.299,1.67759
 2,  44,  76,  90,  89, 156,  29,790.997,2.11529
 1,  40,  71, 124,  94, 181,  64,654.873,1.67304
 0,  70, 112,  49,  84, 169,  75,1454.46,0.920341
 0,  66, 107,  60,  50, 148,  50,1255.11,1.30531
 8,  57, 109,  52,  68, 148,  25,1164.33,1.24855
 5,  62, 104,  77,  86, 110,  21,1100.34,1.40689
 9,  42,  78,  64,  94, 115,  43,785.178,1.4026
 3,  61,  77, 143,  76, 139,  53,1079.37,1.41742
 5,  44,  67,  52,  74,  76,  41,744.78,1.87458
 3,  60,  99, 145,  55, 149,  71,1089.72,1.35282
 3,  84, 101, 135,  50, 141,  83,1309.77,1.40476
 6,  31,  77,  76,  78, 104,  22,611.281,1.7644
 5,  65, 106,  89,  62, 143,  17,1329,1.46858
 1,  31,  49, 105,  84, 146,  29,454.483,1.92775
 7,  70,  65, 102, 104, 140,  81,865.947,1.45357
 2,  55, 104,  90,  71, 140,  23,1060.32,1.58057
 0,  76, 101,  47,  47, 126,  32,1383.85,1.16402
 5,  51,  94,  87,  75, 135,  24,1099.08,1.30759
 8,  78, 103,  58,  81, 110,  78,1185.47,1.51155
 0,  69, 111,  76,  51, 154,  34,1255.79,1.35994
 3,  50,  76,  63,  25,  83,  30,917.246,2.12979
 3,  59, 101,  91,  36, 115,  37,1185.06,1.48501
 3,  53,  74, 138,  37, 153,  65,989.128,1.54562
 7,  62,  59,  87,  60, 123,  91,825.764,1.69491
 6,  28,  90,  50,  96, 114,  18,643.74,1.75234
 6,  31, 101,  47, 108, 126,  49,746.774,1.31587
 1,  24,  39,  44,  45,  58,   4,338.596,4.84159
 1,  29,  49,  95,  74, 142,  28,459.25,2.28796
 3,  40,  55,  90,  39,  68,   6,640.303,2.68188
 5,  70, 120, 110,  84, 187,  51,1353.4,1.1319
 3,  60, 105, 112,  51, 112,  58,1107.76,1.60321
 5,  62,  86, 104,  74, 137,  43,1045.73,1.63512
 7,  61,  43, 182,  47, 130,  92,715.325,1.49769
 9,  56,  66,  78,  95, 127,  84,690.482,1.77367
 0,  90, 125,  74,  48, 153,  59,1666.87,0.972612
 8,  50,  79,  81,  78, 144,  51,806.226,1.89316
 0,  85, 116,  55,  64, 156,  57,1597.05,1.03556
 0,  70,  98,  84,  46, 145,  36,1152.06,1.35174
 0,  66,  90,  52,  36, 111,  23,1123.63,1.39906
 9,  50,  67,  58,  63,  95,  43,677.104,1.97996
 9,  61,  69, 112,  41, 123,  58,762.415,1.33136
 0,  73, 120,  66,  52, 166,  38,1592.56,1.03983
 7,  49,  40, 147,  71, 116, 112,570.276,2.07151
 1,  25,  46,  61,  59,  82,  11,397.148,3.26597
 4,  61,  67,  71, 125, 149,  94,694.162,1.47952
 2,  44,  79, 107,  50, 134,  36,788.264,2.15407
 7,  65,  80, 147,  89, 195, 106,951.783,1.02823
 3,  69,  92,  90,  39, 116,  78,1221.13,1.45989
 3,  78, 131,  71,  62, 141,  46,1361.15,1.62316
 4,  32,  83, 125,  51, 178,  58,711.939,0.989731
 2,  55, 142,  70, 103, 198,  91,1223.21,0.905285
 5,  61,  99, 118, 106, 165,  65,1225.09,1.28433
 6,  15,  72,  42, 108, 130,  25,463.331,1.34816
 6,  32,  97,  40, 157, 166,  55,893.9,1.12495
 1,  20,  35,  23,  33,  24,   3,303.892,5.03499
 7,  76,  63, 168,  73, 144, 100,944.71,1.6294
 6,  41, 139,  73, 110, 176,  56,1130.97,1.1202
 8,  69,  87,  44, 102, 112,  79,995.451,1.79206
 0,  58,  94,  54,  41, 104,  25,1043.45,1.39153
 9,  43,  60, 103,  68, 133,  70,614.279,1.55887
 4,  44,  74,  87,  44, 136,  38,688.872,1.28828
 0,  60, 101,  55,  41, 187,  38,1289.14,0.886478
 2,  42,  67, 114,  98, 139,  14,726.954,2.50924
 1,  29,  44,  64,  56,  85,  16,390.034,3.09539
 1,  22,  49,  73,  60, 106,  16,422.517,2.65184
 2,  54, 102, 120,  33, 129,  34,1140.65,1.28363
 7,  74,  57, 179,  73, 162,  93,880.113,1.66081
 3,  53, 104,  65,  32,  83,  38,1005.06,1.56589
 6,  52, 138,  78, 100, 180,  75,1342.81,0.976215
 4,  44, 109, 123,  61, 212, 100,1096.78,0.849508
 8,  68, 105,  97,  58, 140,  74,1151.63,1.24409
 5,  61,  97,  92,  80, 132,  62,1171.65,1.36109
 8,  51,  84,  51,  84, 108,  60,865.225,1.7705
 6,  39, 127,  65, 103, 144,  35,1007.24,1.25888
 3,  54,  68, 141,  97, 172,  91,944.282,1.78061
 7,  56,  51,  97,  89, 112,  88,702.621,1.96146
 5,  65,  94, 107,  90, 129, 104,1136.84,1.28303
 8,  67,  91,  39, 122, 129, 104,992.858,1.66513
 6,  55,  84,  61,  74, 128,  40,906.189,1.69096
 9,  53,  73,  87,  69, 121,  70,790.307,1.6527
 1,  41,  55,  86,  46,  84,  14,529.335,2.9457
 0,  81, 108,  51,  53, 162,  53,1660.36,1.05687
 3,  41,  48,  96,  49,  96,  44,602.945,2.63412
 1,  35,  57,  70,  71, 100,  21,505.818,2.63445
 4,  33,  67, 105,  65, 152,  52,572.16,1.18293
 2,  68, 113,  65, 137, 224,  86,1274.54,1.36147
 9,  41,  66, 121,  40, 136,  49,641.431,1.29244
 3,  59, 100,  61,  38, 106,  50,1142.33,1.57644
 9,  39,  55,  78,  26,  83,  19,545.831,1.95242
 4,  41,  98, 114,  39, 188,  73,937.598,0.814781
 4,  39, 109,  83,  81, 215,  86,1159.05,0.820358
 5,  65, 105,  73, 100, 145,  84,1245.76,1.35547
 5,  66,  91, 122,  93, 142,  33,1172.56,1.65184
 6,  33, 106,  59, 151, 166,  63,923.3,1.03482
 2,  61, 109,  78, 146, 206,  93,1225.82,1.3488
 7,  79,  57, 211,  73, 184, 117,1001.46,1.46907
 4,  44, 120, 135, 107, 232, 108,976.811,0.928982
 8,  73,  76,  52, 102, 125,  90,956.892,1.84889
 9,  56,  62,  72,  36,  78,  35,649.407,2.18993
 9,  46,  47,  71,  52,  76,  48,556.687,2.79703
 5,  50,  72,  82, 135, 135,  39,801.908,1.66531
 6,  33, 112,  59,  77, 119,  16,888.433,1.28346
 3,  68,  90, 155,  71, 189,  81,1092.03,1.18434
 0,  69, 108,  40,  58, 143,  43,1446.11,1.10536
 5,  42,  57,  84, 111, 112,  42,685.991,2.1172
 3,  53,  91, 126,  44, 177,  26,968.193,1.684
 9,  58,  84,  79,  39, 101,  42,949.433,1.28209
 4,  35,  82, 138,  61, 194,  90,731.803,0.997488
 6,  49, 105,  40,  99, 157,  50,1106.66,1.01702
 1,  24,  38,  51,  39,  56,   8,346.295,2.99865
 5,  52,  69, 146, 138, 201, 160,847.514,1.16159
 4,  46, 108, 126,  40, 208,  74,1066.9,0.765506
 7,  43,  43, 125,  48, 103,  74,574.886,2.42133
 0,  64,  94,  49,  48, 120,  24,1115.35,1.36783
 7,  78,  73, 175,  73, 156,  80,1120.51,1.3926
 8,  58,  82,  27, 113, 103,  76,873.706,1.89612
 0,  69,  94,  61,  48, 190,  60,1473.31,0.980915
 6,  41, 105,  53, 116, 132,  24,936.15,1.43335
 4,  30,  79, 132,  56, 161,  47,572.43,1.49968
 4,  45,  94, 104,  65, 162,  75,804.951,0.986687
 9,  72,  94, 126,  62, 165,  72,1046.97,1.08502
 5,  70,  89,  98,  61, 104,  25,1047.38,1.60567
 6,  32,  83,  98,  91, 155,  33,819.351,1.22295
 4,  60, 118, 106,  59, 190, 106,1207.74,0.821669
 0,  76, 111,  44,  54, 122,  28,1266.85,1.36994
 0,  74, 112,  65,  44, 154,  25,1482.2,1.11665
 1,  24,  43,  27,  23,  28,   4,328.251,5.25628
 7,  66,  52, 106,  89, 141, 105,772.51,1.60572
 1,  24,  34,  36,  61,  47,   8,295.714,4.37235
 8,  80,  86,  43, 112, 121, 104,1065.9,1.59357
 4,  35, 100,  83,  78, 205,  58,945.526,0.955047
 7,  59,  55,  97,  69, 114,  90,744.637,1.8566
 1,  24,  38,  31,  24,  32,   3,314.958,5.832
 7,  65,  64, 128,  53, 134,  87,969.23,1.66293
 6,  31,  96,  66,  83, 117,  25,742.226,1.31801
 9,  57,  76,  98,  54, 119,  68,858.018,1.29332
 0,  82, 121,  44,  81, 160,  69,1607.77,1.05012
 0,  60,  93,  74,  39, 159,  25,1279.34,1.08112
 3,  63,  89, 193,  79, 189,  35,1141.99,1.55657
 9,  62,  79, 101,  86, 201,  57,837.558,1.73933
 9,  46,  68,  78,  45,  93,  39,648.283,2.36108
 7,  73,  70, 157,  72, 208, 102,1034.89,1.69179
 8,  70,  99, 108, 116, 232, 105,1133.53,1.2094
 4,  47, 108, 110,  35, 171,  69,973.07,0.775408
 3,  57, 103,  97,  55, 122,  18,1101.63,1.58389
 2,  43, 122,  95,  57, 135,  43,1073.97,1.22662
 9,  79,  84, 120,  70, 174,  59,1075.03,1.47335
 5,  62,  82, 102,  75, 137,  23,1033.89,1.69246
 7,  42,  44,  89,  39,  73,  37,538.254,2.27552
 8,  62,  70,  32,  84,  68,  21,797.183,2.14855
 6,  31,  85,  48,  59,  80,  14,628.802,2.0921
 5,  54,  87, 100, 104, 153,  74,1021.48,1.41884
 0,  66, 125,  98,  75, 187,  78,1394.77,0.958298
 9,  47,  61,  92,  75, 121,  74,646.342,1.79895
 1,  29,  52,  21,  54,  65,   4,416.921,4.17722
 8,  58,  79,  47,  99,  93,  59,863.409,1.91868
 2,  51,  84,  98,  96, 221,  96,878.471,1.16779
 8,  54,  89,  38, 113, 132, 100,951.072,1.65237
 0,  59,  89,  47,  43, 104,  32,1064.86,1.27867
 7,  43,  49,  86,  70,  80,  21,570.35,2.52371
 0,  74, 115,  63,  48, 172,  35,1628.01,1.00832
 1,  27,  54,  58,  51,  79,   8,450.296,3.20323
 7,  32,  60, 108, 119, 153,  41,492.05,1.8295
 3,  59,  87,  94,  37, 104,  33,946.073,1.94379
 5,  72, 104,  65, 128, 143, 106,1199.3,1.54088
 5,  59, 110,  61,  62,  90,  15,1123.19,1.55285
 6,  42,  77,  80, 117, 125,  35,836.012,1.50337
 3,  51,  88, 103,  36, 139,  40,935.931,1.69191
 2,  64, 131,  75,  38, 180,  60,1312,0.883288
 1,  22,  39,  65,  67,  86,  14,343.069,3.3631
 4,  43,  79,  88,  76, 142,  44,652.082,1.67022
 6,  36, 116,  47, 126, 148,  47,961.929,1.17404
 2,  43,  64, 115,  42,  92,  23,785.847,2.17834
 5,  71, 111,  55,  81, 112,  18,1294.26,1.47069
 1,  21,  31,  34,  28,  39,   4,282.094,6.68317
 3,  50,  98, 116,  44, 160,  57,990.327,1.51175
 8,  42,  61,  32,  49,  58,  12,577.081,2.9848
 8,  62,  76,  70, 101, 134, 104,879.87,1.61783
 1,  21,  33,  40,  28,  35,   4,345.233,5.34957
 7,  72,  57, 183,  39, 141,  75,937.299,1.54189
 2,  52, 108,  96,  47, 130,  39,1085.07,1.16637
 3,  61, 106,  56,  50, 107,  15,1105.67,1.6169
 2,  43,  85, 125, 111, 265,  76,925.252,1.45434
 1,  37,  58,  54,  46,  75,  11,509.119,3.1494
 6,  42,  98,  42, 120, 135,  29,980.873,1.44163
 6,  38, 111,  57, 129, 148,  48,1103.79,1.09505
 6,  33,  92,  38,  65,  90,  11,673.207,2.16899
 8,  73,  98,  45, 101, 126,  91,1077.56,1.59698
 1,  23,  43,  39,  47,  56,   8,338.456,3.61475
 5,  60,  96, 102,  57, 138,  18,1109.12,1.51131
 7,  37,  27, 122,  36, 138,  70,497.117,1.18362
 9,  62,  86, 106,  26, 112,  49,910.774,1.2149
 1,  23,  45,  28,  21,  30,   4,332.75,5.15105
 2,  56,  84,  97, 103, 142,  16,1001.79,1.90587
 3,  61, 153,  67,  88, 187, 107,1379.84,0.982392
 2,  58,  71, 100,  71, 116,  53,887.47,2.20754
 3,  77,  86, 137,  67, 147,  86,1072.76,1.43814
 0,  77, 100,  58,  53, 155,  26,1363.88,1.20821
 4,  30,  52, 115,  24, 117,  48,543.534,1.25563
 9,  59,  81, 123,  70, 163,  76,900.959,1.05293
 5,  60, 101, 175,  66, 242,  41,1235.31,1.44027
 2,  47,  85, 106,  94, 197,  24,871.383,2.07837
 6,  42,  84,  74,  72, 120,  16,868.577,1.58926
 4,  39,  86, 114,  68, 169,  75,725.06,0.998403
 1,  44,  83,  52,  49,  91,  19,707.523,2.50684
 7,  41,  42, 112,  36,  93,  66,569.627,2.24456
 8,  48,  85,  61,  60, 121,  52,887.382,1.53183
 3,  48,  88, 103,  43, 135,  38,902.987,1.78352
 2,  27,  81,  84,  55, 201,  73,758.362,0.759663
 1,  23,  43,  59,  65,  80,  12,371.258,3.40456
 5,  69, 137,  88, 111, 190,  83,1476.7,1.00476
 3,  60,  90, 101,  27, 132,  49,999.239,1.73332
 1,  23,  34,  21,  24,  22,   4,352.542,4.65395
 6,  31, 101,  41, 140, 160,  48,883.686,1.03755
 7,  49,  42, 116,  89, 117,  95,620.565,1.84813
 2,  55,  88,  83, 114, 156,  17,1016.17,1.94633
